name,category,price,image_url
İnceltici Etkili Toparlayıcı Lazer Kesim Iz Yapmayan Hayalet Paçalı Korse,Kadın,199.96,https://cdn.dsmcdn.com/mnresize/400/-/ty1896/prod/QC_ENRICHMENT/20260522/14/061bae0c-d424-34ae-8ae0-281cced915e6/1_org_zoom.jpg
Desenli Pamuk Soft Şal Soon Serisi Lacivert Mavi ps154,Kadın,198.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1779/prod/QC_PREP/20251025/11/4d6a9e65-39c5-376c-b59d-5a0fafbf9769/1_org_zoom.jpg
"Turunculaşma Karşıtı Mor Saç Bakım Şampuanı,250 ml, Sülfatlı, Vegan, Mor Şampuan",Kadın,292.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1829/prod/QC_ENRICHMENT/20260220/11/6e71dcb4-cbc6-3498-94ae-c68e2101c191/1_org_zoom.jpg
Çiçek Baskılı Fırfırlı Pijama Takımı,Kadın,353.39,https://cdn.dsmcdn.com/mnresize/400/-/ty1923/prod/QC_ENRICHMENT/20260507/16/2d8bb739-5bb0-3ddf-86cb-6ee3ffcfad53/1_org_zoom.jpg
Bej Kırmızı Biye Detaylı Kiraz Nakışlı Bebek Yaka Şortlu Kısa Kollu Pijama Takımı,Kadın,365.78,https://cdn.dsmcdn.com/mnresize/400/-/ty1933/prod/QC_ENRICHMENT/20260522/17/aaa4068f-34e4-37d5-b488-668a96a7018c/1_org_zoom.jpg
Kadın 10 Çift Premium Kalite Pamuklu Meyve Desenli Babet Çorap,Kadın,180.88,https://cdn.dsmcdn.com/mnresize/400/-/ty1714/prod/QC_ENRICHMENT/20250722/13/4773e391-a266-304f-a1c7-251063bf1707/1_org_zoom.jpg
Kadın Bato Yüksek Bel Renkli Seven Day Külot 7'li Paket,Kadın,270.63,https://cdn.dsmcdn.com/mnresize/400/-/ty1326/product/media/images/prod/QC/20240522/23/6c5399ef-6984-3101-85cb-eb783145c305/1_org_zoom.jpg
Kadın 10 Çift Premium Çiçek ve Hayvan Desenli Görünmez Babet Çorap Şeker Beyazı,Kadın,180.78,https://cdn.dsmcdn.com/mnresize/400/-/ty1835/prod/QC_ENRICHMENT/20260304/19/565bb23d-05e5-33d8-a3c0-eeb7c676b05c/1_org_zoom.jpg
Desenli Pamuk Soft Şal Mena Serisi Lacivert Vizon ps66,Kadın,190.4,https://cdn.dsmcdn.com/mnresize/400/-/ty1736/prod/QC_PREP/20250823/10/60262090-681f-3c4f-9073-3d6a39805459/1_org_zoom.jpg
5mm 14k Altın Renk Baget Taş Su Yolu Kararmaz Bileklik 16+2cm Kadın Çelik Bileklik,Kadın,161.33,https://cdn.dsmcdn.com/mnresize/400/-/ty1910/prod/QC_ENRICHMENT/20260508/07/cc49575a-a3ec-378f-8bb3-2d836d3fd41b/1_org_zoom.jpg
DÜĞMELİ ŞORT TAKIM,Kadın,324.46,https://cdn.dsmcdn.com/mnresize/400/-/ty1900/prod/QC_ENRICHMENT/20260428/15/3ed8600d-966d-3cb5-bcb5-976325347f80/1_org_zoom.jpg
Bele Oturan Geniş Kollu Doğal Viskon Bluz,Kadın,399.84,https://cdn.dsmcdn.com/mnresize/400/-/ty1814/prod/QC_PREP/20260119/17/bcbd9acd-3b6c-3cfd-bba4-9a97c3ebd472/1_org_zoom.jpg
Kadın Siyah Şalvar Model Balon Pantolon,Kadın,199.74,https://cdn.dsmcdn.com/mnresize/400/-/ty1695/prod/QC_PREP/20250618/15/de5b081c-7fb8-3c99-a48d-af071310b06b/1_org_zoom.jpg
Chronologiste Yaşlanma Belirtileriyle Zayıflayan Saçlar Için Şampuan 250ml,Erkek,2068.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1919/prod/QC_ENRICHMENT/20260605/16/0eb476b2-8d9a-3215-a3a5-9f5b30e91c68/1_org_zoom.jpg
"Hacim ve Dolgunluk Veren Şampuan, Biberiye Yağı İçeren, 300 ml",Erkek,1035.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1695/prod/QC_PREP/20250617/18/139be919-d1be-349d-8c6b-d8764334ad0d/1_org_zoom.jpg
"Onarıcı Şampuan, Kuru ve Hasar Görmüş Saçlar için, 5 Esansiyel Yağ İçeren, 300 ml",Erkek,1035.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1476/product/media/images/prod/QC/20240812/03/bda07ea7-c309-3443-b5d1-319ad7bda64d/1_org_zoom.jpg
Erkek Çekmeyen Pamuklu Kumaş Slim Fit Dar Kesim Simsiyah Kıvrılmaz Polo Yaka T-shirt,Erkek,413.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1754/prod/QC_PREP/20250911/10/d206c054-28ef-39ce-bf6c-e58bcdd31f32/1_org_zoom.jpg
Erkek Fitilli Atlet - Likralı Pamuk Kaşkorse Halter Yaka Tank Top Atlet,Erkek,284.9,https://cdn.dsmcdn.com/mnresize/400/-/ty1475/product/media/images/prod/QC/20240811/11/4d6ab7c9-8b5f-3822-b65a-4eff08b0fcd4/1_org_zoom.jpg
lacivert Kısa Kollu Örme Nakışlı Erkek Şort-Pijama Takım 7820,Erkek,301.59,https://cdn.dsmcdn.com/mnresize/400/-/ty1807/prod/QC_ENRICHMENT/20251231/12/2f3cf8d8-1297-3d9f-b2b5-0325d1f9615a/1_org_zoom.jpg
Erkek Çekmeyen Pamuklu Kumaş Slim Fit Dar Kesim Lacivert Kıvrılmaz Polo Yaka Tişört,Erkek,391.44,https://cdn.dsmcdn.com/mnresize/400/-/ty1000395/product/media/images/prod/PIM/20260505/09/97beeed9-3f4a-4617-83c8-9a788fdac9eb/1_org_zoom.jpg
Erkek Çekmeyen Pamuklu Kumaş Slim Fit Dar Kesim Beyaz Kıvrılmaz Polo Yaka T-shirt,Erkek,407.9,https://cdn.dsmcdn.com/mnresize/400/-/ty1000394/product/media/images/prod/PIM/20260430/13/4c8cafa6-42dd-43dd-bd3a-41f3481d3972/1_org_zoom.jpg
ERKEK ATLET %70 PAMUK GENİŞ KALIP BASİC ATLET 6'LI PAKET,Erkek,329.16,https://cdn.dsmcdn.com/mnresize/400/-/ty1825/prod/QC_ENRICHMENT/20260213/19/48126a89-f687-3e9f-9fb6-e35c2fcc93b4/1_org_zoom.jpg
